# timestamp x y z roll pitch yaw
1577858936126056 -844.470942 -501.828232 5.276242 0.011934 -0.010039 2.331943
1577858936136906 -844.506292 -501.783341 5.276837 0.011934 -0.010039 2.331943
1577858936147155 -844.629762 -501.662387 5.278756 0.012124 -0.009658 2.331947
1577858936157679 -844.665112 -501.617496 5.279351 0.012124 -0.009467 2.331949
1577858936168857 -844.788582 -501.496542 5.281270 0.012315 -0.009085 2.331952
1577858936179490 -844.947404 -501.330734 5.279784 0.012506 -0.008513 2.331958
1577858936189904 -844.947403 -501.330716 5.281784 0.012506 -0.008322 2.331960
1577858936199886 -844.982753 -501.285825 5.282379 0.012506 -0.008322 2.331960
1577858936210744 -845.106223 -501.164871 5.284299 0.012698 -0.007943 2.332155
1577858936221635 -845.270935 -500.991555 5.285745 0.012698 -0.007561 2.332159
1577858936232492 -845.306285 -500.946664 5.286340 0.012698 -0.007561 2.332159
1577858936243324 -845.429757 -500.825738 5.285259 0.012698 -0.007561 2.332159
1577858936254614 -845.465106 -500.780828 5.287854 0.012698 -0.007180 2.332163
1577858936264620 -845.588577 -500.659902 5.286774 0.012698 -0.007180 2.332163
1577858936275157 -845.623926 -500.614992 5.289368 0.012698 -0.007180 2.332163
1577858936285639 -845.753289 -500.486586 5.288220 0.012698 -0.007180 2.332163
1577858936296572 -845.788640 -500.441714 5.286815 0.012888 -0.007180 2.332163
1577858936307129 -845.912110 -500.320760 5.288734 0.012888 -0.006989 2.332165
1577858936317157 -845.947460 -500.275869 5.289329 0.012888 -0.006989 2.332165
1577858936327543 -846.062220 -500.148065 5.290180 0.013079 -0.006989 2.332165
1577858936338600 -846.221041 -499.982248 5.289695 0.013079 -0.006989 2.332165
1577858936349123 -846.265101 -499.944207 5.291357 0.013079 -0.006798 2.332167
1577858936359912 -846.379862 -499.816412 5.291209 0.013080 -0.006800 2.332359
1577858936370429 -846.423922 -499.778371 5.292871 0.013271 -0.006610 2.332361
1577858936381179 -846.544574 -499.643096 5.292655 0.013271 -0.006419 2.332362
1577858936391517 -846.588634 -499.605074 5.292317 0.013271 -0.006228 2.332364
1577858936401506 -846.703396 -499.477289 5.291169 0.013462 -0.006037 2.332366
1577858936412648 -846.747455 -499.439239 5.293832 0.013462 -0.006037 2.332366
1577858936422802 -846.862215 -499.311434 5.294683 0.013652 -0.005847 2.332368
1577858936434117 -846.906275 -499.273403 5.295346 0.013652 -0.005847 2.332368
1577858936444802 -847.026928 -499.138137 5.294130 0.013652 -0.005656 2.332370
1577858936455813 -847.070988 -499.100097 5.295792 0.013652 -0.005465 2.332372
1577858936466297 -847.185749 -498.972302 5.295644 0.013652 -0.005465 2.332372
1577858936476659 -847.229808 -498.934252 5.298306 0.013463 -0.005276 2.332565
1577858936487345 -847.344569 -498.806475 5.296158 0.013463 -0.004895 2.332569
1577858936498272 -847.388630 -498.768444 5.296820 0.013272 -0.004895 2.332569
1577858936509094 -847.547450 -498.602618 5.297334 0.013272 -0.004513 2.332572
1577858936520206 -847.668103 -498.467352 5.296118 0.013272 -0.004513 2.332572
1577858936530070 -847.668103 -498.467333 5.298119 0.013081 -0.004323 2.332574
1577858936540488 -847.826923 -498.301498 5.299632 0.012890 -0.004132 2.332576
1577858936550429 -847.835633 -498.308358 5.299700 0.012890 -0.004132 2.332576
1577858936560747 -847.870984 -498.263476 5.299295 0.012890 -0.004132 2.332576
1577858936571540 -847.994454 -498.142531 5.300214 0.012890 -0.004323 2.332574
1577858936581872 -848.144566 -497.969864 5.298660 0.012890 -0.004323 2.332574
1577858936591746 -848.188626 -497.931842 5.298323 0.012890 -0.004323 2.332574
